2015
WAST , S , T , SR 
March, 20.1746, 22.1926, 185.689
April, 20.8706, 19.0963, 125.645
May, 16.7705, 14.7713, 107.116
June, 17.9882, 14.8312, 81.5565
July, 16.231, 13.454, 79.4443
August, 17.6932, 14.012, 101.829
September, 18.8501, 15.3856, 167.069
October, 17.9951, 18.9682, 191.059
November, 20.2113, 20.8374, 238.996
December, 21.6395, 21.9187, 265.549
